ID,Lat,Lon,Code,Code2
Davie,26.06452,-80.32561,1,0
Jupiter,26.945819,-80.22986,1,0
LakeWorth,26.63306,-80.066103,1,0
Margate,26.24588,-80.21802,1,0
Perrine,25.5819,-80.4361,1,0
SouthBay,26.47,-80.6402,1,0
MIA,25.78805,-80.31694,1,0
Whipray Basin,25.072,-80.735,2,0
Butternut Key,25.087,-80.519,2,0
Peterson Key,24.918,-80.747,2,0
Bob Allen,25.027,-80.681,2,0
Little Rabbit Key,24.982,-80.826,2,0
Trout Cr,25.2148972,-80.5335056,3,1
McCormick Cr,25.20330278,"	-80.5841111",3,1
Taylor Rv,25.19059444,-80.6390528,3,1
Mud Cr,25.16819444,-80.73358889,3,1
Shark River,25.3749722,-81.0366944,3,2
Harney Rv,25.43055556,-81.0859583,3,2
Broad Rv,25.50138889,-81.0769444,3,2
Lostmans Rv,25.55555556,-81.1647222,3,2
C8 Can,25.9002222,-80.1949722,3,3
Tamiami Can,25.7625,-80.3280833,3,3
Snapper Cr,25.69905556,-80.3606111,3,3
BlackCr Can,25.5598611,-80.3595556,3,3
StLucieRv,27.2048,-80.2587833,3,4
S-80,27.10866667,-80.28725,3,4
Lox Rv,26.98528333,-80.16,3,4
